Date,Open,High,Low,Close,Volume
2026-05-27T13:30:00Z,308.36,309.60,308.32,309.50,684058
2026-05-27T13:35:00Z,310.63,310.69,310.07,310.07,1139448
2026-05-27T13:40:00Z,310.78,311.30,310.74,311.15,902015
2026-05-27T13:45:00Z,310.60,310.65,310.35,310.39,54114
2026-05-27T13:50:00Z,310.86,310.87,310.77,310.80,678482
2026-05-27T13:55:00Z,310.72,310.76,310.72,310.75,474536
2026-05-27T14:00:00Z,311.87,311.91,311.79,311.79,7074
2026-05-27T14:05:00Z,312.33,312.49,312.31,312.31,705298
2026-05-27T14:10:00Z,311.71,311.77,311.65,311.76,442728
2026-05-27T14:15:00Z,312.59,312.60,312.50,312.57,34314
2026-05-27T14:20:00Z,312.13,312.18,311.88,311.92,665705
2026-05-27T14:25:00Z,311.16,311.22,311.06,311.06,508948
2026-05-27T14:30:00Z,311.26,312.17,311.19,311.80,527901
2026-05-27T14:35:00Z,311.80,312.78,311.76,312.68,517024
2026-05-27T14:40:00Z,312.68,312.68,312.66,312.68,475
2026-05-27T14:45:00Z,312.73,312.83,312.41,312.43,250588
2026-05-27T14:50:00Z,312.42,313.04,312.28,312.67,383836
2026-05-27T14:55:00Z,312.66,313.08,312.19,313.06,273053
2026-05-27T15:00:00Z,313.07,313.26,312.92,313.01,431071
2026-05-27T15:05:00Z,313.01,313.15,312.56,312.77,328397
2026-05-27T15:10:00Z,312.75,312.91,312.44,312.46,236324
2026-05-27T15:15:00Z,312.46,312.54,312.05,312.07,289561
2026-05-27T15:20:00Z,312.07,312.14,311.47,311.76,351737
2026-05-27T15:25:00Z,311.76,311.86,311.57,311.79,261987
2026-05-27T15:30:00Z,311.79,312.14,311.61,311.93,321436
2026-05-27T15:35:00Z,311.93,312.05,311.20,311.23,348257
2026-05-27T15:40:00Z,311.23,311.49,311.00,311.07,293051
2026-05-27T15:45:00Z,311.06,311.23,310.70,310.82,459794
2026-05-27T15:50:00Z,310.82,311.16,310.79,310.95,259922
2026-05-27T15:55:00Z,310.95,311.80,310.90,311.70,250282
2026-05-27T16:00:00Z,311.70,311.75,311.39,311.62,231369
2026-05-27T16:05:00Z,311.62,311.70,311.26,311.70,193170
2026-05-27T16:10:00Z,311.69,311.77,311.44,311.69,211840
2026-05-27T16:15:00Z,311.69,311.84,311.38,311.40,178224
2026-05-27T16:20:00Z,311.40,311.44,311.17,311.33,181816
2026-05-27T16:25:00Z,311.34,311.44,310.96,311.24,230300
2026-05-27T16:30:00Z,311.24,311.39,311.06,311.26,143941
2026-05-27T16:35:00Z,311.25,311.44,311.25,311.36,106549
2026-05-27T16:40:00Z,311.35,311.49,310.81,310.86,193398
2026-05-27T16:45:00Z,310.85,311.05,310.45,310.74,326436
2026-05-27T16:50:00Z,310.74,310.77,310.38,310.48,242273
2026-05-27T16:55:00Z,310.52,310.68,310.44,310.61,144743
2026-05-27T17:00:00Z,310.62,310.98,310.58,310.89,191694
2026-05-27T17:05:00Z,310.88,311.00,310.40,310.43,160472
2026-05-27T17:10:00Z,310.44,310.69,310.43,310.67,133045
2026-05-27T17:15:00Z,310.68,310.98,310.61,310.86,181935
2026-05-27T17:20:00Z,310.86,310.90,310.61,310.76,137190
2026-05-27T17:25:00Z,310.75,310.81,310.46,310.47,146536
2026-05-27T17:30:00Z,310.47,310.66,310.47,310.66,109214
2026-05-27T17:35:00Z,310.66,310.69,310.45,310.56,104388
2026-05-27T17:40:00Z,310.56,310.59,310.56,310.58,1682
2026-05-27T17:45:00Z,310.56,310.59,310.55,310.59,195361
2026-05-27T17:50:00Z,310.45,310.49,310.41,310.49,217794
2026-05-27T17:55:00Z,310.83,310.83,310.77,310.78,10127
2026-05-27T18:00:00Z,310.89,310.93,310.88,310.91,197441
2026-05-27T18:05:00Z,310.52,310.52,310.52,310.52,190682
2026-05-27T18:10:00Z,310.77,310.78,310.75,310.77,4247
2026-05-27T18:15:00Z,310.86,310.87,310.80,310.83,112559
2026-05-27T18:20:00Z,310.92,310.93,310.85,310.89,846320
2026-05-27T18:25:00Z,310.79,310.83,310.78,310.78,10326
2026-05-27T18:30:00Z,310.83,310.88,310.80,310.86,145916
2026-05-27T18:35:00Z,310.65,310.66,310.63,310.66,166527
2026-05-27T18:40:00Z,310.80,310.80,310.77,310.78,2579
2026-05-27T18:45:00Z,310.76,310.79,310.74,310.78,157092
2026-05-27T18:50:00Z,310.68,310.74,310.68,310.74,184422
2026-05-27T18:55:00Z,310.50,310.60,310.50,310.60,5079
2026-05-27T19:00:00Z,310.51,310.53,310.48,310.53,166391
2026-05-27T19:05:00Z,310.21,310.25,310.15,310.15,297432
2026-05-27T19:10:00Z,310.34,310.36,310.31,310.36,10267
2026-05-27T19:15:00Z,310.69,310.69,310.64,310.66,254436
2026-05-27T19:20:00Z,310.34,310.49,310.33,310.43,276283
2026-05-27T19:25:00Z,310.04,310.06,309.91,309.94,36075
2026-05-27T19:30:00Z,309.82,309.89,309.82,309.86,454986
2026-05-27T19:35:00Z,309.92,309.95,309.86,309.88,366443
2026-05-27T19:40:00Z,309.95,309.99,309.94,309.98,43072
2026-05-27T19:45:00Z,309.83,309.94,309.82,309.90,328396
2026-05-27T19:50:00Z,309.85,310.22,309.83,310.02,696243
2026-05-27T19:55:00Z,310.24,310.58,310.24,310.58,56276
