Date,Open,High,Low,Close,Volume
2026-05-18T13:30:00Z,419.27,420.40,417.71,418.68,761934
2026-05-18T13:35:00Z,419.17,420.31,418.41,419.86,1297323
2026-05-18T13:40:00Z,415.00,415.18,413.39,413.69,1759454
2026-05-18T13:45:00Z,411.99,412.60,411.01,412.60,277808
2026-05-18T13:50:00Z,412.69,413.98,412.59,413.95,1228676
2026-05-18T13:55:00Z,415.45,415.65,414.90,415.37,1090440
2026-05-18T14:00:00Z,416.15,416.37,414.56,414.60,97863
2026-05-18T14:05:00Z,415.01,415.79,414.77,415.79,93280
2026-05-18T14:10:00Z,417.12,417.58,416.13,417.28,990975
2026-05-18T14:15:00Z,417.07,417.96,417.07,417.90,84788
2026-05-18T14:20:00Z,418.26,418.60,417.62,417.82,891190
2026-05-18T14:25:00Z,416.07,416.54,415.78,416.23,611598
2026-05-18T14:30:00Z,413.92,414.46,413.68,413.72,121493
2026-05-18T14:35:00Z,410.58,411.38,410.33,410.58,1466026
2026-05-18T14:40:00Z,412.11,412.33,411.01,411.13,1004511
2026-05-18T14:45:00Z,412.36,412.69,411.40,411.51,67820
2026-05-18T14:50:00Z,410.42,410.98,410.00,410.92,1033900
2026-05-18T14:55:00Z,410.31,410.71,410.17,410.22,768364
2026-05-18T15:00:00Z,411.11,411.84,411.04,411.60,89750
2026-05-18T15:05:00Z,410.83,411.04,410.45,410.86,616309
2026-05-18T15:10:00Z,409.45,410.38,408.85,410.25,828762
2026-05-18T15:15:00Z,410.67,410.69,410.10,410.21,67202
2026-05-18T15:20:00Z,408.86,409.59,408.81,409.51,729322
2026-05-18T15:25:00Z,409.55,409.68,409.15,409.54,569577
2026-05-18T15:30:00Z,408.26,408.74,407.86,407.93,167419
2026-05-18T15:35:00Z,409.30,410.10,409.22,409.90,698644
2026-05-18T15:40:00Z,410.63,411.33,410.53,411.20,575004
2026-05-18T15:45:00Z,410.26,410.90,410.26,410.68,34385
2026-05-18T15:50:00Z,411.18,411.19,410.76,411.02,345058
2026-05-18T15:55:00Z,412.30,412.69,412.27,412.60,639304
2026-05-18T16:00:00Z,412.18,412.44,411.50,411.68,72623
2026-05-18T16:05:00Z,411.89,412.24,411.73,411.84,312137
2026-05-18T16:10:00Z,412.82,413.10,412.65,413.08,414687
2026-05-18T16:15:00Z,413.57,413.85,413.47,413.59,52295
2026-05-18T16:20:00Z,413.71,414.22,413.70,414.19,481046
2026-05-18T16:25:00Z,413.10,413.25,412.35,412.35,89667
2026-05-18T16:30:00Z,409.46,409.52,408.80,408.86,87170
2026-05-18T16:35:00Z,410.45,410.96,410.22,410.77,593294
2026-05-18T16:40:00Z,410.97,411.01,410.70,410.76,370692
2026-05-18T16:45:00Z,410.06,410.44,410.06,410.14,45580
2026-05-18T16:50:00Z,410.35,410.38,410.07,410.22,279961
2026-05-18T16:55:00Z,411.80,412.27,411.73,412.24,487412
2026-05-18T17:00:00Z,411.56,411.74,410.92,411.02,73886
2026-05-18T17:05:00Z,410.65,410.87,410.33,410.84,366787
2026-05-18T17:10:00Z,411.05,411.43,411.01,411.30,326439
2026-05-18T17:15:00Z,409.82,410.07,409.80,410.00,27657
2026-05-18T17:20:00Z,410.34,410.56,410.16,410.20,265638
2026-05-18T17:25:00Z,409.55,409.57,409.30,409.40,422132
2026-05-18T17:30:00Z,409.96,410.05,409.79,409.84,17708
2026-05-18T17:35:00Z,408.38,408.46,407.95,408.00,785529
2026-05-18T17:40:00Z,407.97,408.08,407.66,407.91,539656
2026-05-18T17:45:00Z,408.62,408.83,408.10,408.33,65815
2026-05-18T17:50:00Z,408.22,408.70,408.17,408.50,364477
2026-05-18T17:55:00Z,408.85,409.34,408.72,409.34,397285
2026-05-18T18:00:00Z,409.43,409.57,409.19,409.44,36565
2026-05-18T18:05:00Z,408.04,408.30,408.04,408.23,412395
2026-05-18T18:10:00Z,407.51,407.87,407.05,407.78,537970
2026-05-18T18:15:00Z,407.33,407.41,406.80,407.00,106558
2026-05-18T18:20:00Z,406.15,406.32,405.90,406.14,636476
2026-05-18T18:25:00Z,407.06,407.27,406.33,406.42,555836
2026-05-18T18:30:00Z,407.10,407.33,406.77,407.33,67277
2026-05-18T18:35:00Z,406.69,406.95,406.69,406.91,512288
2026-05-18T18:40:00Z,406.22,406.42,406.05,406.15,385246
2026-05-18T18:45:00Z,406.61,406.73,406.29,406.38,35606
2026-05-18T18:50:00Z,405.72,406.00,405.43,405.71,479076
2026-05-18T18:55:00Z,405.50,406.35,405.33,406.21,634824
2026-05-18T19:00:00Z,406.23,407.42,406.10,407.28,55944
2026-05-18T19:05:00Z,409.66,410.16,409.51,409.68,1112799
2026-05-18T19:10:00Z,408.98,409.72,408.95,409.23,609361
2026-05-18T19:15:00Z,409.23,409.58,409.07,409.20,50881
2026-05-18T19:20:00Z,408.64,409.07,408.62,408.98,286627
2026-05-18T19:25:00Z,408.22,408.42,407.53,407.82,488670
2026-05-18T19:30:00Z,408.46,408.73,408.25,408.42,65979
2026-05-18T19:35:00Z,409.50,410.13,409.46,409.94,640122
2026-05-18T19:40:00Z,410.10,410.59,409.92,409.98,696724
2026-05-18T19:45:00Z,409.98,410.46,409.98,410.18,61525
2026-05-18T19:50:00Z,410.85,410.90,409.95,410.02,581760
2026-05-18T19:55:00Z,409.72,409.79,408.93,409.07,932340
