Date,Open,High,Low,Close,Volume
2026-05-18T13:30:00Z,131.52,131.84,131.25,131.51,278245
2026-05-18T13:35:00Z,131.47,131.47,131.13,131.41,219006
2026-05-18T13:40:00Z,131.75,132.10,131.75,131.98,264644
2026-05-18T13:45:00Z,132.19,132.31,132.12,132.29,66503
2026-05-18T13:50:00Z,132.59,132.63,132.31,132.40,263736
2026-05-18T13:55:00Z,132.29,132.35,132.26,132.34,174523
2026-05-18T14:00:00Z,132.34,132.55,132.30,132.51,52439
2026-05-18T14:05:00Z,132.68,132.75,132.60,132.67,273192
2026-05-18T14:10:00Z,132.36,132.48,132.36,132.40,240926
2026-05-18T14:15:00Z,132.04,132.04,131.81,131.96,17945
2026-05-18T14:20:00Z,132.09,132.16,132.04,132.13,457736
2026-05-18T14:25:00Z,132.29,132.34,132.23,132.31,367797
2026-05-18T14:30:00Z,132.40,132.46,132.34,132.46,18744
2026-05-18T14:35:00Z,132.60,132.67,132.53,132.53,329153
2026-05-18T14:40:00Z,132.18,132.35,132.17,132.24,200445
2026-05-18T14:45:00Z,132.25,132.54,132.21,132.52,28730
2026-05-18T14:50:00Z,132.90,132.99,132.88,132.95,282686
2026-05-18T14:55:00Z,132.74,132.87,132.68,132.85,186286
2026-05-18T15:00:00Z,132.65,132.72,132.43,132.46,21970
2026-05-18T15:05:00Z,131.71,131.93,131.69,131.86,244335
2026-05-18T15:10:00Z,132.10,132.16,131.69,131.75,166045
2026-05-18T15:15:00Z,131.84,131.91,131.83,131.91,13963
2026-05-18T15:20:00Z,132.08,132.12,131.97,132.04,184068
2026-05-18T15:25:00Z,131.90,131.90,131.83,131.87,108193
2026-05-18T15:30:00Z,131.87,131.88,131.81,131.86,10099
2026-05-18T15:35:00Z,131.82,131.88,131.79,131.79,89903
2026-05-18T15:40:00Z,131.81,131.90,131.79,131.85,110529
2026-05-18T15:45:00Z,131.88,132.00,131.84,131.98,49880
2026-05-18T15:50:00Z,131.98,132.04,131.96,131.96,190260
2026-05-18T15:55:00Z,131.97,132.04,131.95,132.01,299174
2026-05-18T16:00:00Z,131.96,132.09,131.91,132.09,9703
2026-05-18T16:05:00Z,132.10,132.14,132.09,132.11,81262
2026-05-18T16:10:00Z,132.03,132.12,132.03,132.10,104759
2026-05-18T16:15:00Z,132.18,132.23,132.15,132.22,11189
2026-05-18T16:20:00Z,132.28,132.35,132.24,132.31,91962
2026-05-18T16:25:00Z,132.28,132.34,132.28,132.33,5725
2026-05-18T16:30:00Z,132.29,132.35,132.27,132.31,10484
2026-05-18T16:35:00Z,132.32,132.38,132.30,132.30,118954
2026-05-18T16:40:00Z,132.26,132.27,132.23,132.26,57638
2026-05-18T16:45:00Z,132.18,132.19,132.13,132.15,4171
2026-05-18T16:50:00Z,132.27,132.30,132.24,132.26,81066
2026-05-18T16:55:00Z,132.28,132.31,132.13,132.13,53445
2026-05-18T17:00:00Z,132.12,132.12,132.05,132.08,10175
2026-05-18T17:05:00Z,132.24,132.25,132.18,132.24,125845
2026-05-18T17:10:00Z,132.17,132.24,132.14,132.22,131485
2026-05-18T17:15:00Z,132.15,132.17,132.06,132.11,49173
2026-05-18T17:20:00Z,132.11,132.11,132.01,132.05,9778
2026-05-18T17:25:00Z,132.25,132.28,132.17,132.18,86918
2026-05-18T17:30:00Z,132.00,132.10,132.00,132.04,4967
2026-05-18T17:35:00Z,132.18,132.21,132.18,132.18,66651
2026-05-18T17:40:00Z,132.17,132.20,132.13,132.14,66691
2026-05-18T17:45:00Z,132.10,132.18,132.09,132.18,6225
2026-05-18T17:50:00Z,132.41,132.48,132.40,132.48,130168
2026-05-18T17:55:00Z,132.36,132.36,132.22,132.22,90634
2026-05-18T18:00:00Z,132.37,132.38,132.35,132.36,11982
2026-05-18T18:05:00Z,132.41,132.43,132.37,132.39,85473
2026-05-18T18:10:00Z,132.43,132.53,132.40,132.40,146444
2026-05-18T18:15:00Z,132.47,132.48,132.42,132.44,12315
2026-05-18T18:20:00Z,132.50,132.50,132.46,132.46,117253
2026-05-18T18:25:00Z,132.40,132.50,132.39,132.46,108532
2026-05-18T18:30:00Z,132.48,132.51,132.45,132.45,12241
2026-05-18T18:35:00Z,132.41,132.46,132.41,132.45,98607
2026-05-18T18:40:00Z,132.56,132.60,132.54,132.54,109072
2026-05-18T18:45:00Z,132.60,132.62,132.58,132.60,15232
2026-05-18T18:50:00Z,132.68,132.68,132.51,132.52,177396
2026-05-18T18:55:00Z,132.68,132.68,132.56,132.57,125105
2026-05-18T19:00:00Z,132.62,132.62,132.54,132.54,6626
2026-05-18T19:05:00Z,132.72,132.74,132.66,132.70,309087
2026-05-18T19:10:00Z,132.77,132.79,132.72,132.72,186965
2026-05-18T19:15:00Z,132.83,132.87,132.81,132.81,14585
2026-05-18T19:20:00Z,132.94,133.06,132.94,133.03,226439
2026-05-18T19:25:00Z,133.03,133.04,132.95,133.01,169027
2026-05-18T19:30:00Z,133.10,133.17,133.10,133.16,20506
2026-05-18T19:35:00Z,133.31,133.31,133.14,133.21,207933
2026-05-18T19:40:00Z,133.21,133.34,133.20,133.31,188288
2026-05-18T19:45:00Z,133.23,133.24,133.14,133.14,25582
2026-05-18T19:50:00Z,133.33,133.37,133.05,133.11,301079
2026-05-18T19:55:00Z,133.27,133.47,133.27,133.41,454470
