Date,Open,High,Low,Close,Volume
2026-05-19T13:30:00Z,608.92,610.20,607.70,609.03,260410
2026-05-19T13:35:00Z,609.02,609.36,607.00,607.18,190842
2026-05-19T13:40:00Z,607.60,607.68,606.95,607.08,157042
2026-05-19T13:45:00Z,605.92,606.88,605.11,606.70,26049
2026-05-19T13:50:00Z,608.82,609.88,608.78,609.64,206955
2026-05-19T13:55:00Z,611.25,611.50,610.49,611.41,256888
2026-05-19T14:00:00Z,612.73,613.00,611.57,611.72,22177
2026-05-19T14:05:00Z,612.90,613.01,611.02,611.22,251808
2026-05-19T14:10:00Z,609.91,610.11,609.52,610.11,184266
2026-05-19T14:15:00Z,609.36,610.13,609.10,609.93,12712
2026-05-19T14:20:00Z,609.82,610.07,609.31,609.51,183050
2026-05-19T14:25:00Z,608.98,609.00,607.61,608.82,72714
2026-05-19T14:30:00Z,608.99,609.23,608.30,608.34,7402
2026-05-19T14:35:00Z,608.61,608.70,608.09,608.21,2204
2026-05-19T14:40:00Z,607.50,607.94,607.26,607.93,78659
2026-05-19T14:45:00Z,607.36,607.41,606.44,606.44,28606
2026-05-19T14:50:00Z,605.79,605.79,605.25,605.29,169045
2026-05-19T14:55:00Z,605.66,606.26,605.66,606.25,138667
2026-05-19T15:00:00Z,606.77,606.96,606.21,606.21,12067
2026-05-19T15:05:00Z,606.70,606.79,606.50,606.50,73603
2026-05-19T15:10:00Z,607.00,607.42,606.82,607.41,98403
2026-05-19T15:15:00Z,606.95,607.01,606.50,606.87,14351
2026-05-19T15:20:00Z,605.52,605.91,605.28,605.91,112185
2026-05-19T15:25:00Z,604.74,605.26,604.36,605.25,119872
2026-05-19T15:30:00Z,604.20,604.32,603.80,604.13,25955
2026-05-19T15:35:00Z,604.00,604.08,603.75,603.95,427431
2026-05-19T15:40:00Z,604.10,604.52,603.90,604.48,86563
2026-05-19T15:45:00Z,604.41,604.53,603.53,604.20,81148
2026-05-19T15:50:00Z,604.23,604.35,603.78,603.94,9026
2026-05-19T15:55:00Z,603.73,603.73,603.18,603.30,79881
2026-05-19T16:00:00Z,602.95,603.45,602.86,603.43,8442
2026-05-19T16:05:00Z,604.08,604.15,603.91,603.95,97762
2026-05-19T16:10:00Z,602.78,602.90,602.34,602.36,83853
2026-05-19T16:15:00Z,602.08,602.77,602.08,602.57,7720
2026-05-19T16:20:00Z,602.82,603.01,602.82,602.96,88355
2026-05-19T16:25:00Z,602.70,603.13,602.56,602.84,66120
2026-05-19T16:30:00Z,602.23,602.29,601.40,602.17,92899
2026-05-19T16:35:00Z,602.10,602.21,601.56,601.62,23148
2026-05-19T16:40:00Z,601.23,601.68,601.12,601.63,177184
2026-05-19T16:45:00Z,602.05,602.10,601.84,601.92,9120
2026-05-19T16:50:00Z,602.46,602.48,602.21,602.43,90383
2026-05-19T16:55:00Z,604.19,604.47,604.19,604.30,133009
2026-05-19T17:00:00Z,603.86,603.96,603.79,603.84,1488
2026-05-19T17:05:00Z,603.71,604.27,603.70,604.01,74115
2026-05-19T17:10:00Z,604.10,604.29,604.00,604.24,54959
2026-05-19T17:15:00Z,603.76,604.00,603.73,603.88,8988
2026-05-19T17:20:00Z,602.96,603.23,602.90,603.20,63213
2026-05-19T17:25:00Z,604.10,604.24,603.99,603.99,61188
2026-05-19T17:30:00Z,603.74,604.23,603.73,604.23,9520
2026-05-19T17:35:00Z,602.67,602.93,602.63,602.79,129234
2026-05-19T17:40:00Z,603.02,603.37,602.70,603.08,85976
2026-05-19T17:45:00Z,603.07,603.07,602.59,602.59,5742
2026-05-19T17:50:00Z,602.36,602.40,602.16,602.33,69507
2026-05-19T17:55:00Z,602.52,602.87,602.32,602.45,47405
2026-05-19T18:00:00Z,602.68,602.79,602.55,602.60,2738
2026-05-19T18:05:00Z,602.52,602.65,602.41,602.50,44464
2026-05-19T18:10:00Z,602.66,602.81,602.56,602.61,48055
2026-05-19T18:15:00Z,601.93,602.03,601.74,601.77,9147
2026-05-19T18:20:00Z,602.30,602.40,602.01,602.15,95687
2026-05-19T18:25:00Z,602.40,602.40,602.13,602.40,77773
2026-05-19T18:30:00Z,259.25,259.28,259.10,259.21,11838
2026-05-19T18:35:00Z,602.86,602.99,602.74,602.92,67731
2026-05-19T18:40:00Z,602.14,602.21,602.03,602.12,6707
2026-05-19T18:45:00Z,602.16,602.23,602.00,602.07,3985
2026-05-19T18:50:00Z,602.24,602.24,601.80,601.87,62094
2026-05-19T18:55:00Z,601.51,601.51,600.86,600.88,100390
2026-05-19T19:00:00Z,601.12,601.20,600.78,600.85,10905
2026-05-19T19:05:00Z,600.97,601.75,600.95,601.45,132603
2026-05-19T19:10:00Z,601.80,602.31,601.77,602.28,77982
2026-05-19T19:15:00Z,601.98,602.40,601.98,602.37,5830
2026-05-19T19:20:00Z,602.82,602.96,602.66,602.75,95869
2026-05-19T19:25:00Z,602.17,602.17,601.64,601.99,73134
2026-05-19T19:30:00Z,602.54,602.58,602.02,602.12,7789
2026-05-19T19:35:00Z,602.00,602.08,601.85,601.90,75904
2026-05-19T19:40:00Z,601.98,601.98,601.62,601.62,179074
2026-05-19T19:45:00Z,601.62,601.83,601.45,601.76,22212
2026-05-19T19:50:00Z,602.51,602.69,602.14,602.41,142717
2026-05-19T19:55:00Z,602.61,602.95,602.41,602.95,260888
